ID,Source,Élément,Preuve,Confiance,Sévérité,Impact,Recommandation,Référence OWASP,Statut
FIND-001,BeVigil,AWS API Key potentielle,BeVigil Overview et Strings,Forte,High,Risque d'accès non autorisé à des services cloud si la clé est valide,Masquer la clé et éviter les secrets hardcodés,MASVS-STORAGE,À confirmer
FIND-002,BeVigil,Exported Activity,BeVigil Manifest Scanner AndroidManifest.xml CWE-926,Forte,Low,Une activité exportée peut être appelée par d'autres applications,Mettre android exported à false si l'activité ne doit pas être publique,MASVS-PLATFORM,Confirmé
FIND-003,BeVigil,Weak Crypto Algorithms,BeVigil Vulnerabilities Weak Crypto Algorithms,Moyenne,Low,Risque d'utilisation d'algorithmes cryptographiques faibles,Remplacer par des algorithmes modernes,MASVS-CRYPTO,À confirmer
FIND-004,BeVigil,Generic API Key potentielle,BeVigil Strings Generic API Key,Moyenne,Low,Risque d'exposition de secret si la clé est valide,Vérifier la chaîne détectée et éviter les clés hardcodées,MASVS-STORAGE,À confirmer
FIND-005,BeVigil,Permissions risquées détectées,BeVigil Permissions Summary 3 Risky,Forte,Low,Les permissions risquées augmentent la surface d'exposition,Vérifier que chaque permission est nécessaire,MASVS-PLATFORM,Confirmé
FIND-006,BeVigil,Assets réseau exposés,BeVigil Assets Wordcloud URLs et Hostnames,Forte,Info,Cartographie possible des services utilisés par l'application,Documenter les domaines et vérifier le périmètre autorisé,MASVS-NETWORK,Confirmé
FIND-007,BeVigil,Aucun malware détecté,BeVigil Summary Malwares 0,Forte,Info,Aucun malware signalé par BeVigil,Conserver comme information de contexte,Non applicable,Confirmé
FIND-008,Yaazhini,Résumé APK extrait,Yaazhini App Summary,Forte,Info,Informations générales de l'application extraites avec succès,Conserver comme preuve de l'analyse statique,Non applicable,Confirmé
FIND-009,Yaazhini,Insecure communication,Yaazhini Vulnerabilities a2.java,Forte,High,Risque d'exposition des données si une communication non chiffrée est utilisée,Utiliser HTTPS TLS pour les communications réseau,MASVS-NETWORK,Confirmé
FIND-010,Yaazhini,Improper export of receiver,Yaazhini Vulnerabilities FlagFiveReceiver AndroidManifest.xml,Forte,Medium,Un receiver exporté peut être invoqué par une autre application,Désactiver exported ou protéger le receiver par permission,MASVS-PLATFORM,Confirmé
FIND-011,Yaazhini,Insecure ECB mode,Yaazhini Vulnerabilities ECB mode,Moyenne,Medium,Le mode ECB peut révéler des motifs dans les données chiffrées,Utiliser un mode plus sûr comme GCM ou CBC avec IV correct,MASVS-CRYPTO,À confirmer
FIND-012,Yaazhini,Insecure algorithm DES,Yaazhini Vulnerabilities k.java DES,Forte,Medium,DES est un algorithme ancien et faible,Remplacer DES par AES avec une configuration sécurisée,MASVS-CRYPTO,Confirmé
FIND-013,Yaazhini,Use of insufficiently random values,Yaazhini Vulnerabilities Random,Moyenne,Medium,Risque de génération prévisible si utilisé pour des secrets,Utiliser SecureRandom pour les usages sensibles,MASVS-CRYPTO,À confirmer
FIND-014,Yaazhini,Permissions sensibles analysées,Yaazhini Permissions,Forte,Low,Les permissions stockage et téléphone peuvent augmenter l'exposition,Limiter les permissions au strict nécessaire,MASVS-PLATFORM,Confirmé
FIND-015,Yaazhini,Activities analysées,Yaazhini Activities,Forte,Low,Les activités doivent être vérifiées pour éviter une exposition inutile,Vérifier android exported et protéger les activités sensibles,MASVS-PLATFORM,Confirmé
FIND-016,Yaazhini,Receiver exporté détecté,Yaazhini Receivers FlagFiveReceiver exported true,Forte,Medium,Le receiver exporté peut être accessible depuis une autre application,Mettre exported à false ou ajouter une permission,MASVS-PLATFORM,Confirmé
FIND-017,Yaazhini,URLs liées détectées,Yaazhini Linked URLs,Forte,Info,Les URLs permettent d'identifier les services utilisés par l'application,Documenter les domaines et vérifier qu'ils sont autorisés,MASVS-NETWORK,Confirmé
FIND-018,BeVigil et Yaazhini,Weak crypto confirmé,BeVigil Weak Crypto et Yaazhini DES ECB,Forte,Medium,Les deux outils signalent des faiblesses cryptographiques,Vérifier le code et remplacer les mécanismes faibles,MASVS-CRYPTO,Confirmé
FIND-019,BeVigil et Yaazhini,Composants exposés confirmés,BeVigil Exported Activity et Yaazhini Receiver exported,Forte,Medium,Des composants Android exposés augmentent la surface d'attaque,Restreindre les composants exportés et appliquer des permissions,MASVS-PLATFORM,Confirmé
FIND-020,BeVigil et Yaazhini,Assets réseau confirmés,BeVigil Assets et Yaazhini Linked URLs,Forte,Info,Les deux outils détectent des domaines et URLs liés à l'application,Vérifier HTTPS et documenter les services externes,MASVS-NETWORK,Confirmé
